시도,구군,기관명,주차장명,유형,주소,위치 정보,전화번호,위도,경도,01월29일(토),01월30일(일),01월31일(월),02월01일(화),02월02일(수),365일 상시 무료개방 여부
부산광역시,사하구,괴정3동행정복지센터,괴정3동행정복지센터,부설,부산광역시 사하구 낙동대로171번길 30-5 (괴정동),건물 옆쪽,051-220-5061,35.10033709,128.9980896,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사하구,괴정4동행정복지센터,괴정4동행정복지센터,부설,부산광역시 사하구 낙동대로309번길 9 (괴정동),청사 앞,051-220-5091,35.09914321,128.9831585,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사하구,구평동행정복지센터,구평동행정복지센터,부설,부산광역시 사하구 서포로 48 (구평동),건물 뒤편,051-220-5391,35.08193332,128.9878314,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,북구,구포1동주민센터,구포1동주민센터,부설,부산광역시 북구 낙동대로1762번길 75(구포동),구포1동주민센터,051-309-6202,35.20646983,129.0011237,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,북구,구포3동주민센터,구포3동주민센터,부설,부산광역시 북구 시랑로118번길 23(구포동),구포3동주민센터,051-309-6242,35.19493140,129.0087893,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,북구,국민체육센터,국민체육센터,부설,부산광역시 북구 화명대로94번길 83(화명동),국민체육센터,051-309-4122,35.23079749,129.0174181,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,중구,중구청,국제시장로1구간,노상,부산광역시 중구 신창동4가 56-4,국제시장로1구간,051-600-4556,35.10058387,129.0278494,"00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00",종일개방,"00:00~10:00, 21:00~24:00",X
부산광역시,북구,금곡도서관,금곡도서관,부설,부산광역시 북구 효열로203번길 34(금곡동),금곡도서관,051-309-6181,35.26323521,129.0167140,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,북구,금곡동주민센터,금곡동주민센터,부설,부산광역시 북구 금곡대로 466(금곡동),금곡동주민센터,051-309-6265,35.25008046,129.0128465,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,금정구,금정구청 재무과,금정구청,노외,부산광역시 금정구 중앙대로 1777(부곡동),건물 앞,051-519-4161,35.24204980,129.0924585,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,기장군,기장군청,기장군청,부설,부산광역시 기장군 기장읍 기장대로 560,청사입구,051-709-4217,35.24347702,129.2229513,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,기장군,기장읍사무소,기장읍사무소,부설,부산광역시 기장군 기장읍 차성동로5번길 10,청사입구,051-709-5114,35.23856062,129.2161976,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,북구,기후변화체험교육관,기후변화체험교육관,부설,부산광역시 북구 학사로118(화명동),기후변화체험교육관,051-309-6290,35.23291237,129.0081394,"00:00~09:00, 18:00~24:00","00:00~09:00, 18:00~24:00","00:00~09:00, 18:00~24:00",종일개방,"00:00~09:00, 18:00~24:00",X
부산광역시,남구,나사함복지관,나사함발달장애인복지관,부설,부산광역시 남구 못골번영로 70(대연동),본관 앞,051-627-8521,35.14133258,129.0890682,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,남구,남구청 시설관리사업소,남구국민체육센터,부설,부산광역시 남구 백운포로 110(용호동),체육센터 맞은편,051-607-4934,35.10387725,129.1082028,미개방,미개방,종일개방,종일개방,종일개방,X
부산광역시,남구,남구노인복지관,남구노인복지관,부설,부산광역시 남구 못골로 97-10(대연동),본관건물 1층,051-628-1291,35.13618392,129.0932570,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,남구,남구장애인복지관,남구장애인복지관,부설,부산광역시 남구 조각공원로11번길 38(대연동),복지관 입구,051-626-6990,35.12923425,129.0992205,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,남구,부산광역시 남구청,남구청,부설,부산광역시 남구 못골로 19(대연동),지하주차장,051-607-4156,35.13650057,129.0841098,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,남구,남부교육지원청,남부교육지원청,부설,부산광역시 남구 못골로 29(대연동),지상주차장,051-640-0315,35.13616401,129.0854550,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,서구,남부민1동 주민센터,남부민1동 주민센터,부설,부산광역시 서구 충무대로255번길 5-26,청사입구,051-240-6602,35.09274404,129.0233092,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,강서구,녹산동 행정복지센터,녹산동 행정복지센터,부설,부산광역시 강서구 가락대로 900번가길 32(범방동),청사 입구,051-970-4621,35.15352557,128.8837834,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,녹산산단공영주차장,노외,부산광역시 강서구 송정동 1759,청사 앞,051-970-4832,35.08440862,128.8402459,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,사하구,다대1동행정복지센터,다대1동행정복지센터,부설,부산광역시 사하구 다대로530번길 7 (다대동),청사 내,051-220-5356,35.05917088,128.9713320,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사하구,다대2동행정복지센터,다대2동행정복지센터,부설,부산광역시 사하구 다대로429번길 30 (다대동),청사 앞,051-220-5361,35.06355582,128.9820074,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사하구,당리동행정복지센터,당리동행정복지센터,부설,부산광역시 사하구 낙동대로 380 (당리동),청사 입구,051-220-5121,35.10293652,128.9766778,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,강서구,대저1동 행정복지센터,대저1동 행정복지센터,부설,부산광역시 강서구 대저로 221번길 19,청사 입구,051-970-4409,35.21546606,128.9768396,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,대항공영주차장,노외,부산광역시 강서구 대항동 산13-26,공영주차장,051-970-4562,35.01202359,128.8298290,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,북구,덕천1동주민센터,덕천1동주민센터,부설,부산광역시 북구 만덕대로102번가길 11(덕천동),덕천1동주민센터,051-309-6362,35.21244258,129.0166616,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,북구,덕천3동주민센터,덕천3동주민센터,부설,부산광역시 북구 덕천로 118(덕천동),덕천3동주민센터,051-309-6402,35.20992104,129.0174538,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,동구,부산광역시 동구청,동구청 부설주차장,부설,부산광역시 동구 구청로 1,지하주차장,051-440-4164,35.12929736,129.0452940,무료개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,동래구,부산광역시 동래구청,동래구청,부설,부산광역시 동래구 온천천로359번길 70,청사 입구,051-550-4152,35.19649347,129.0935165,종일개방,종일개방,종일개방,종일개방,09:00~18:00,X
부산광역시,연제구,동래세무서,동래세무서,부설,부산광역시 연제구 거제천로 269번길 16,청사입구,051-860-2244,35.19341135,129.0864476,미개방,미개방,미개방,미개방,미개방,X
부산광역시,사상구,사상구청 교통행정과,동서고가도로밑주변,노상,부산광역시 사상구 주례동 394 일원,동서고가도로밑주변,051-310-4515,35.15248886,129.0028647,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,동신운수옆복개공영주차장,노상,부산광역시 사상구 주례동 1160-53 일원,동신운수옆복개공영주차장,051-310-4515,35.14962830,128.9977921,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,동영공업주변,노상,부산광역시 사상구 학장동 748-1 일원,동영공업주변,051-310-4515,35.14084337,128.9752216,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,북구,만덕2동주민센터,만덕2동주민센터,부설,부산광역시 북구 만덕2로44번길 10(만덕동),만덕2동주민센터,051-309-6442,35.21018589,129.0372044,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,수영구,망미2동 행정복지센터,망미2동 행정복지센터,부설,부산광역시 수영구 수미로35번길 40,1층 주차장,051-610-5945,35.17531035,129.1152984,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,동래구,부산광역시 동래구 명장1동,명장1동 행정복지센터,부설,부산광역시 동래구 명장로32,청사 입구,051-550-6548,35.20469770,129.1042463,종일개방,종일개방,종일개방,종일개방,09:00~18:00,X
부산광역시,강서구,명지1동 행정복지센터,명지1동 행정복지센터,부설,부산광역시 강서구 영강길 19번길 58(명지동),청사 입구,051-970-4924,35.10816387,128.9263254,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,명지2동 행정복지센터,명지2동 행정복지센터,부설,부산광역시 강서구 명지오션시티 11로 35(명지동),청사 입구,051-970-2984,35.10755847,128.9182342,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,명지중앙상가 공영주차장,노상,부산광역시 강서구 명지동 3282,노상 주차장,051-970-4562,35.08428631,128.9035414,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,사상구,사상구청 교통행정과,모라1동주민센터주변,노상,부산광역시 사상구 모라동 1345-6 일원,모라1동주민센터주변,051-310-4515,35.19157096,128.9911351,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,북구,문화예술회관,문화예술회관,부설,부산광역시 북구 금곡대로 46번길 50(덕천동),문화예술회관,051-309-4085,35.21343518,129.0057565,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,영도구,문화예술회관,문화예술회관,부설,부산광역시 영도구 함지로79번길 6,"회관 일대(지상,지하)",051-419-5561,35.07526852,129.0668621,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,해운대구,반송2동 주민센터,반송2동 주민센터,부설,부산광역시 해운대구 신반송로 173,지하,051-749-6881,35.22884239,129.1604121,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,해운대구,반여1동 주민센터,반여1동 주민센터,부설,부산광역시 해운대구 선수촌로85,동사 앞,051-749-6331,35.20114644,129.1189355,미개방,미개방,미개방,미개방,미개방,X
부산광역시,해운대구,반여2동 주민센터,반여2동 주민센터,부설,부산광역시 해운대구 재반로211번길 9,지하,051-749-6379,35.19588635,129.1301406,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,X
부산광역시,해운대구,반여4동 주민센터,반여4동 주민센터,부설,부산광역시 해운대구 삼어로133번길 50,동사 1층,051-749-6421,35.20923985,129.1170917,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,금정구,금정구청 교통행정과,범어사상마공영주차장,노외,부산광역시 금정구 청룡동435-19일원,주차장,051-519-4516,35.27978938,129.0744768,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,중구,중구청,보수 복개천,노상,부산광역시 중구 부평동3가 80,보수 복개천,051-600-4556,35.10293769,129.0245226,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,연제구,부산광역시 소방재난본부,부산광역시 소방재난본부,부설,부산광역시 연제구 고분로 216,건물뒤편,051-760-4324,35.18343838,129.1057479,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,수영구,부산시 수영구청,부산광역시 수영구청,부설,부산광역시 수영구 남천동로 100(남천동),본관앞,051-610-4101,35.14536623,129.1123652,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,연제구,부산광역시청,부산광역시청,부설,부산광역시 연제구 중앙대로1001,건물뒤편,051-888-1867,35.17992893,129.0750915,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,중구,중구청,부산데파트뒤,노상,부산광역시 중구 동광동1가 50,부산데파트뒤,051-600-4556,35.09887751,129.0355713,"00:00~09:00, 20:00~24:00","00:00~09:00, 20:00~24:00",종일개방,종일개방,종일개방,X
부산광역시,중구,중구청,부산우체국뒤,노상,부산광역시 중구 중앙동3가 20,부산우체국 뒤,051-600-4556,35.10341183,129.0355410,"00:00~09:00, 20:00~24:00","00:00~09:00, 20:00~24:00",종일개방,종일개방,종일개방,X
부산광역시,연제구,부산지방국세청,부산지방국세청,부설,부산광역시 연제구 연제로12,건물뒤편,051-750-7200,35.17680067,129.0781791,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,연제구,부산지방노동청,부산지방노동청,부설,부산광역시 연제구 연제로36,청사입구,051-850-6343,35.17807302,129.0770102,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,해운대구,부산지방법원 동부지원,부산지방법원 동부지원,부설,부산광역시 해운대구 재반로 112번길 20,지상,051-780-1204,35.18922837,129.1297958,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,부산진구,부산진구국민체육센터,부산진구국민체육센터,부설,부산광역시 부산진구 진남로328번길 35,건물3층,051-605-4092,35.15538680,129.0737693,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,부산진구,부산진구청,부산진구청,부설,부산광역시 부산진구 시민공원로 30,"건물뒤편, 지하주차장",051-605-4165,35.16283294,129.0531876,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,동구,부산진세무서,부산진세무서,부설,부산광역시 동구 진성로 23,1층 주차장,051-461-9241,35.13042968,129.0467349,무료개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,부산진구,부전마켓타운상인회,부전역공영주차장,노외,부산광역시 부산진구 부전동 46번지,부전마켓타운 맞은편,051-860-7746,35.16347837,129.0618455,미개방,미개방,미개방,미개방,미개방,X
부산광역시,북구,부산광역시 북구청,북구청,부설,부산광역시 북구 낙동대로1570번길 33(구포동),북구청,051-309-4151,35.19687972,128.9900906,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,사상구,사상구청 교통행정과,사상전화국주변,노상,부산광역시 사상구 학장동 281-9 일원,사상전화국주변,051-310-4515,35.14712874,128.9915390,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,사상초등학교주변,노상,부산광역시 사상구 덕포동 752-3 일원,사상초등학교주변,051-310-4515,35.16760677,128.9851357,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사하구,사하구청,사하구청,부설,부산광역시 사하구 낙동대로398번길 12 (당리동),제1별관 옆,051-220-4881,35.10450217,128.9747879,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사하구,사하구청 제2청사,사하구청 제2청사,부설,부산광역시 사하구 하신중앙로 185 (신평동),지상,051-220-0092,35.09496298,128.9615461,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사상구,사상구청 교통행정과,삼락재첩거리주변,노상,부산광역시 사상구 삼락동 70-21 일원,삼락재첩거리주변,051-310-4515,35.19343513,128.9858321,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,서구,서구구덕문화공원,서구 구덕문화공원,노외,부산광역시 서구 꽃마을로163번길 73,문화공원 초입,051-240-3521,35.12641445,129.0057482,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,Y
부산광역시,서구,부산광역시 서구청,서구청,부설,부산광역시 서구 구덕로120,청사입구,051-240-4152,35.09753855,129.0234240,09:00~24:00,종일개방,종일개방,종일개방,00:00~18:00,X
부산광역시,서구,서대신4동주민센터,서대신4동 주민센터,부설,부산광역시 서구 꽃마을로 58(서대신동3가),청사입구,051-240-6502,35.11924335,129.0117487,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,금정구,금정구청 교통행정과,선동주차장,노외,부산광역시 금정구 선동 720-2,주차장,051-519-4516,35.26549324,129.1094238,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,수영구,수영구보건소,수영구보건소,부설,부산광역시 수영구 수영로 637-5,본관앞,051-610-5610,35.16247327,129.1134875,미개방,미개방,미개방,미개방,미개방,X
부산광역시,해운대구,"수영만요트경기장, 부산영화촬영스튜디오","수영만요트경기장, 부산영화촬영스튜디오",부설,부산광역시 해운대구 해운대해변로 52,야외,051-740-2212,35.16249687,129.1380749,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,수영구,수영세무서,수영세무서,부설,부산광역시 수영구 남천동로19번길 28,지하1층 주차장,051-620-9246,35.14353771,129.1112429,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,동구,부산광역시 동구청,수정2동제3공영주차장,노외,부산광역시 동구 수정동 823-22번지,주차장,051-440-4742,35.12863759,129.0444517,무료개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,사상구,사상구청 교통행정과,신일금속주변,노상,부산광역시 사상구 학장동 723-1 일원,신일금속주변,051-310-4515,35.14700581,128.9789607,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,중구,중구청,신한은행 부산금융센터뒤,노상,부산광역시 중구 동광동1가 2,신한은행 부산금융센터뒤,051-600-4556,35.09943604,129.0356113,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,동래구,부산광역시 동래구 안락1동,안락1동 행정복지센터,부설,부산광역시 동래구 안연로 110번길9,청사 입구,051-550-6508,35.19689833,129.0985732,종일개방,종일개방,종일개방,종일개방,09:00~18:00,X
부산광역시,동래구,부산광역시 동래구 안락2동,안락2동 행정복지센터,부설,부산광역시 동래구 명안로18번길 103(안락동),청사 입구,051-550-6529,35.19774890,129.1100600,종일개방,종일개방,종일개방,종일개방,09:00~18:00,X
부산광역시,서구,암남동 주민센터,암남동 주민센터,부설,부산광역시 서구 충무대로 83,청사입구,051-240-6669,35.07989182,129.0209553,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사상구,사상구청 교통행정과,엄궁외식1번가주변,노상,부산광역시 사상구 엄궁동 652-7 일원,엄궁외식1번가주변,051-310-4515,35.12658552,128.9670640,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,연제구,연제구청,연제구청,부설,부산광역시 연제구 연제로2,청사입구,051-665-4222,35.17620985,129.0797412,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,영도구,영도구청,영도구청,부설,부산광역시 영도구 태종로423,청사일대,051-419-4164,35.09121408,129.0679144,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,영도구,영도상수도사업소,영도상수도사업소,부설,부산광역시 영도구 봉래동4가 184-24,건물 앞,051-669-5104,35.09157506,129.0482664,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,영도구,영도어린이영어도서관,영도어린이영어도서관,부설,부산광역시 영도구 절영로 71,건물뒤편,051-419-5671,35.08860879,129.0389287,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,외양포 전망대 주차장,노외,부산광역시 강서구 대항동 산13-29번지 일원,외양포 전망대 입구,051-970-4562,35.01026691,128.8270283,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,해운대구,우2동 주민센터,우2동 주민센터,부설,부산광역시 해운대구 해운대로383번가길 7,건물 뒤편 지상,051-749-6631,35.17120479,129.1399308,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사상구,사상구청 교통행정과,위생처리장주변,노상,부산광역시 사상구 감전동 509-11 일원,위생처리장주변,051-310-4515,35.13710126,128.9686479,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,기장군,일광면사무소,일광면사무소,부설,부산광역시 기장군 일광면 일광로 77-7,청사입구,051-709-5214,35.26420388,129.2322638,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,중구,중구청,자갈치시장 앞,노상,부산광역시 중구 남포동4가 37-2,자갈치시장 앞,051-600-4556,35.09832485,129.0306178,"00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00",종일개방,"00:00~10:00, 21:00~24:00",X
부산광역시,사하구,장림1동행정복지센터,장림1동행정복지센터,부설,부산광역시 사하구 장림로161번길 2 (장림동),청사 입구,051-220-5271,35.08305803,128.9668672,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사하구,장림2동행정복지센터,장림2동행정복지센터,부설,부산광역시 사하구 장평로 131 (장림동),동사 입구,051-220-5301,35.07787384,128.9726285,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,기장군,장안읍사무소,장안읍사무소,부설,부산광역시 기장군 장안읍 좌방길 5,청사입구,051-709-5172,35.31352295,129.2439979,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,해운대구,재송어린이도서관,재송어린이도서관,부설,부산광역시 해운대구 해운대로76번길 35-1,1층,051-749-6575,35.18963089,129.1184919,"00:00~09:00, 18:00~24:00","00:00~09:00, 18:00~24:00",종일개방,종일개방,종일개방,Y
부산광역시,기장군,정관도서관,정관도서관,부설,부산광역시 기장군 정관면 정관중앙로 100,청사입구,051-709-3935,35.32528904,129.1817303,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,Y
부산광역시,기장군,정관읍사무소,정관읍사무소,부설,부산광역시 기장군 정관읍 용수로 4,청사입구,051-709-5244,35.32550140,129.1802926,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,해운대구,좌2동 주민센터,좌2동 주민센터,부설,부산광역시 해운대구 좌동순환로 302,동사 옆 1층 외부,051-749-5861,35.16909159,129.1826027,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사상구,사상구청 교통행정과,주례역공영주차장,노상,부산광역시 사상구 주례동 506 일원,주례역공영주차장,051-310-4515,35.14999971,129.0041072,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,주례오거리공영주차장,노상,부산광역시 사상구 주례동 743-2 일원,주례오거리공영주차장,051-310-4515,35.15090425,129.0004636,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,해운대구,중2동 주민센터,중2동 주민센터,부설,부산광역시 해운대구 좌동순환로433번길 34,"청사입구, 지하",051-749-6691,35.16195072,129.1791075,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,중구,중구청,중앙동 국제회관옆,노상,부산광역시 중구 중앙동6가 9-1,중앙동 국제회관옆,051-600-4556,35.09882794,129.0360972,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,중구,중구청,중앙동 노상주차장,노상,부산광역시 중구 중앙동4가 91,"중앙동 교보생명옆, 중부소방서뒤, 객화차담 밑, 마린센터, KT뒤",051-600-4556,35.10851001,129.0380846,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,중구,중구청,중앙동 유창빌딩앞,노상,부산광역시 중구 중앙동4가 26-3,중앙동 유창빌딩앞,051-600-4556,35.10375639,129.0363570,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,지양곡 공영주차장,노외,부산광역시 강서구 천성동 270-2번지 일원,공영주차장,051-970-4562,35.02162626,128.8228693,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,기장군,철마면사무소,철마면사무소,부설,부산광역시 기장군 철마면 철마로 485,청사입구,051-709-5278,35.27493186,129.1497817,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사상구,사상구청 교통행정과,파라곤호텔주변,노상,부산광역시 사상구 괘법동 565-6 일원,파라곤호텔주변,051-310-4515,35.16191198,128.9804458,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
