시도명,주차장명,주차장유형,소재지도로명주소,위도,경도,개방시작시간,개방종료시간,종일개방여부,전화번호,관리기관
광주광역시,치평동 주민센터 주차장,노외,광주광역시 서구 치평동1171-11,35.149944,126.843333,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,풍암동 주민센터 주차장,노외,광주광역시 서구 풍암동 1125,35.124734,126.87867,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,풍암어린이생태도서관 주차장,노외,광주광역시 서구 풍암동 산26,35.129307,126.882084,00:00,23:59,종일개방,062-360-4583,광주광역시 서구청
광주광역시,풍암호수공원 주차장,노외,광주광역시 서구 풍암동491-5,35.126113,126.869162,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,화정1동 공영주차장,노외,광주광역시 서구 화정동 100,35.157319,126.876594,00:00,23:59,종일개방,062-360-7135,광주광역시 서구청
광주광역시,화정2동 주민센터 주차장,노외,광주광역시 서구 화정동 1611,35.13646,126.870573,00:00,23:59,종일개방,062-360-7174,광주광역시 서구청
광주광역시,화정3동 공영주차장,노외,광주광역시 서구 화정동 842-6,35.141949,126.878307,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,화정4동 공영주차장,노외,광주광역시 서구 화정동 916-9,35.142537,126.873256,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,화정2동 공영주차장,노외,광주광역시 서구 화정동 950,35.143358,126.886659,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,고운하이플러스공영주차장,노외,광주광역시 서구 화정동1705,35.142193,126.875777,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,화정1동 주민센터 주차장,노외,광주광역시 서구 화정동74-11,35.156607,126.877794,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,화정3동 주민센터 주차장,노외,광주광역시 서구 화정동818-9,35.143468,126.876955,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,화정4동 주민센터 주차장,노외,광주광역시 서구 화정동919-21,35.141502,126.873652,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,광주광역시청 부설주차장,부설,광주광역시 서구 내방로111,35.16009995,126.8514631,00:00,23:59,종일개방,062-613-3193,광주광역시청
